car_park_no,address,car_park_type,type_of_parking_system,night_parking,Latitude,Longitude,,,,,
A49,BLK 555/559 ANG MO KIO STREET 54,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.371329665,103.8577957,,,,,
A50,BLK 548/552/556 ANG MO KIO STREET 54,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.372522473,103.8576126,,,,,
A51,BLK 252/253A ANG MO KIO STREET 21,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.369470716,103.8343735,,,,,
A52,BLK 701/716 ANG MO KIO AVENUE 3/6,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.370385408,103.8469238,,,,,
A52L,BLK 700B/ 700C ANG MO KIO AVENUE 3/6,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NO,1.369280577,103.846138,,,,,
A53,BLK 712A ANG MO KIO AVENUE 3/6,MULTI-STOREY CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.370864987,103.8468781,,,,,
A54,BLK 727/728 ANG MO KIO AVENUE 6,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.372434378,103.8459167,,,,,
A55,BLK 729/730 ANG MO KIO AVENUE 6/8,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.373191833,103.8464737,,,,,
A56,BLK 725/730 ANG MO KIO AVENUE 8,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.372698665,103.8471451,,,,,
A57,BLK 720/723 ANG MO KIO AVENUE 8,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.372019649,103.846962,,,,,
A58,BLK 721/722 ANG MO KIO AVENUE 8,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.372346997,103.8477249,,,,,
A59,BLK 547/551 ANG MO KIO STREET 54,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.373896241,103.858139,,,,,
A60,BLK 540/546 ANG MO KIO STREET 54,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.374464512,103.8559113,,,,,
A61,BLK 520/534/529 ANG MO KIO AVENUE 5/10,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.374170423,103.8521576,,,,,
A63,BLK 501/513/508 ANG MO KIO STREET 52/53,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.37521708,103.8493958,,,,,
A64,BLK 584/586 ANG MO KIO STREET 51,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.370534897,103.8534622,,,,,
A65,BLK 558/560 ANG MO KIO STREET 54,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.371029139,103.8594208,,,,,
A66,BLK 601/604/603 ANG MO KIO AVENUE 5,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.380544901,103.8356628,,,,,
A67,BLK 605/612 ANG MO KIO AVENUE 4/5,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.379686356,103.8378067,,,,,
A68,BLK 620/624/626 ANG MO KIO STREET 61,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.381897569,103.8398514,,,,,
A69,BLK 623/625/627 ANG MO KIO STREET 61,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.381641507,103.8419418,,,,,
A7,BLK 212/213 ANG MO KIO STREET 23,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.368392467,103.841301,,,,,
A70,BLK 629/626 ANG MO KIO AVENUE 4,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.380620599,103.8401108,,,,,
A71,BLK 628/632 ANG MO KIO STREET 61,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.380009055,103.840744,,,,,
A72,BLK 633/640 ANG MO KIO STREET 61,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.380760908,103.8435287,,,,,
A73,BLK 641/645 ANG MO KIO STREET 61,SURFACE CAR PARKS,ELECTRONIC PARKING SYSTEM,NIGHT PARKING,1.378848195,103.8408279,,,,,
